Mês;Identificação;Nome do Produto;Un;Quantidade;Custo Unitário;Custo Total;Valor Unitário;Valor Total;Margem
Março;1644;M/M PV 65%POLIEST. 35%VISC. - CAQUI;KG;457,22;21,9323;10.027,92;36,89;16.865,64;40,54
Março;1632;M/M PV 65%POLIEST. 35%VISC. - CELESTE;KG;41,92;23,1968;972,41;38,05;1.595,15;39,04
Março;1629;M/M PV 65%POLIEST. 35%VISC. - CZ CHUMBO;KG;1381,84;21,3676;29.526,67;39,58;54.695,83;46,02
Março;1662;M/M PV 65%POLIEST. 35%VISC. - CZ FORTE;KG;29,62;23,45;694,59;41,61;1.232,60;43,65
Março;1617;M/M PV 65%POLIEST. 35%VISC. - CZ PRATA;KG;463,29;20,4005;9.451,37;37,29;17.277,19;45,3
Março;1627;M/M PV 65%POLIEST. 35%VISC. - ESMERALDA;KG;134,01;22,1198;2.964,28;40,17;5.383,69;44,94
Março;1610;M/M PV 65%POLIEST. 35%VISC. - FERRARI;KG;440,64;22,5301;9.927,67;38,39;16.916,13;41,31
Março;1635;M/M PV 65%POLIEST. 35%VISC. - GRAFITE;KG;1201,35;24,8362;29.836,97;38,3;46.016,72;35,16
Março;1622;M/M PV 65%POLIEST. 35%VISC. - JADE;KG;163,66;23,7802;3.891,87;39,74;6.503,98;40,16
Março;1615;M/M PV 65%POLIEST. 35%VISC. - LARANJA;KG;1199,78;22,5047;27.000,77;37,82;45.380,90;40,5
Março;1643;M/M PV 65%POLIEST. 35%VISC. - MARROM;KG;49,69;25,8832;1.286,14;39,14;1.944,82;33,87
Março;1634;M/M PV 65%POLIEST. 35%VISC. - MOTORISTA;KG;676,62;23,1996;15.697,35;38,49;26.040,99;39,72
Março;1641;M/M PV 65%POLIEST. 35%VISC. - PEROLA;KG;15,74;24,8405;390,99;38,24;601,94;35,05
Março;1619;M/M PV 65%POLIEST. 35%VISC. - PETROLEO;KG;487,8;24,3681;11.886,78;40,56;19.783,10;39,91
Março;1616;M/M PV 65%POLIEST. 35%VISC. - PINK;KG;508,78;24,7596;12.597,19;38,6;19.638,82;35,86
Março;1609;M/M PV 65%POLIEST. 35%VISC. - PRETO;KG;4537,84;22,8342;103.618,26;38,8;176.073,99;41,15
Março;1625;M/M PV 65%POLIEST. 35%VISC. - ROXO;KG;205,34;23,6644;4.859,26;40,97;8.412,52;42,24
Março;1611;M/M PV 65%POLIEST. 35%VISC. - VD FOLHA;KG;860,99;27,4037;23.594,36;40,2;34.611,39;31,83
Março;1626;M/M PV 65%POLIEST. 35%VISC. - VD LIMAO;KG;338,15;25,3;8.555,20;37,84;12.795,10;33,14
Março;1623;M/M PV 65%POLIEST. 35%VISC. - VD MUSGO;KG;1218,74;22,7158;27.684,71;38,77;47.245,15;41,4
Março;1624;M/M PV 65%POLIEST. 35%VISC. - VERDE AGUA;KG;119,11;24,3198;2.896,74;36,73;4.375,45;33,8
Março;1608;M/M PV 65%POLIEST. 35%VISC. - VERMELHO;KG;399,98;24,3155;9.725,74;39,84;15.936,66;38,97
Março;1620;M/M PV 65%POLIEST. 35%VISC. - VINHO;KG;299,5;25,9083;7.759,55;40,64;12.171,89;36,25
Março;1454;M/M PV 65%POLIESTER/35%VISCOSE-CAM. 02;KG;4,25;23,6;100,3;50,68;215,38;53,43
Março;842;M/M PV 67%POLIEST. 33%VISC. - MESCLA;KG;2394,53;20,56;49.231,55;37,76;90.420,42;45,55
Março;1494;PUNHO AD. 50%ALG / 50%POLI - AZ MARINHO;PC;1300;0,51;663;2,27;2.950,50;77,53
Março;1007;PUNHO AD. 50%ALG / 50%POLI - AZUL ROYAL;PC;360;0,5817;209,44;2,36;848,8;75,33
Março;1004;PUNHO AD. 50%ALG / 50%POLI - BRANCO;PC;649;0,44;285,56;2,38;1.543,40;81,5
Março;1550;PUNHO AD. 50%ALG / 50%POLI - CINZA PRATA;PC;3;0,47;1,41;2,5;7,5;81,2
Março;1557;PUNHO AD. 50%ALG / 50%POLI - CZ CHUMBO;PC;195;0,4949;96,51;2,37;462,9;79,15
Março;1006;PUNHO AD. 50%ALG / 50%POLI - GRAFITE;PC;23;0,5;11,5;2,17;49,9;76,95
Março;1558;PUNHO AD. 50%ALG / 50%POLI - MOTORISTA;PC;30;0,57;17,1;2,36;70,8;75,85
Março;1492;PUNHO AD. 50%ALG / 50%POLI - PRETO;PC;337;0,75;252,75;2,33;783,9;67,76
Março;1541;PUNHO AD. 50%ALG / 50%POLI - VD BANDEIRA;PC;235;0,5689;133,71;1,87;440,5;69,65
